username,password,profile 1,profile 2,profile 3,profile 4,profile 5,restrict1,restrict2,restrict3,restrict4,restrict5
MrDunne,Baulko11!!,Mr_Dunne,Child_Dunne,None,None,None,R18,G,None,None,None
u,p,p1,p2,p3,p4,p5,R18,MA15,M,PG,G
NathanLay,reallyokay3,Nathan_Lay,Brother_Lay,Sister_Lay,Father_Lay,Mother_Lay,MA15,R18,PG,R18,R18
RyanLam,reallygood3,Ryan_lam,Father_Lam,Mother_Lam,Sister_Lam,Brother_Lam,MA15,R18,R18,G,PG
CodyRhodes,WWE4evr,Cody,Dusty,Dustin,Vince,Polka_Dot,G,MA15,PG,R18,G
Yourewatcher,yoryor,Youre_watcher,Youre_kidding,None,None,None,M,PG,None,None,None
Youreenjoyer,Iloveyoure,Yippee_Ki_Youre,Youre_hater,None,None,None,R18,M,None,None,None
Imeanitsalright,like,ME,None,None,None,None,PG,None,None,None,None
matcha,ckkboomer,yummy_matcha,balulu,Steven,None,None,M,R18,PG,None,None
shel,silverstein,silver_shel,the_mothers,the_children,the_outrage,the_love,MA15,MA15,G,R18,PG
