username,password,email,plan,paymentinfo,
MrDunne,Baulko11!!,ryan.dunne9@det.nsw.edu.au,Premium,111-111-111111
u,p,e.mail.com,Premium,222-222-222222
NathanLay,reallyokay3,nathan.lay6@education.nsw.gov.au,Basic,403-242-333333
RyanLam,reallygood3,ryan.lam5@education.nsw.gov.au,Basic,404-232-444444
CodyRhodes,WWE4evr,cody.rhodes@cody.cody.com,Premium,999-999-999999
Yourewatcher,yoryor,lincoln.parker@email.com,Basic,332-434-454545
Youreenjoyer,Iloveyoure,pincoln.larker@cmail.com,Premium,866-345-312326
Imeanitsalright,like,turbulent.money@uk.com,Budget,978-526-103492
matcha,ckkboomer,embryo.incline@cody.cody.com,Basic,357-978-895240
shel,silverstein,themotherscancelledme@truthmail.com,Basic,000-000-999999
